"DATEKEY","DATECOMPLETE","JOURSEMAINE","NUMEROJOURSEMAINE","NOMMOIS","ANNEE","TRIMESTRE","SEMESTRE","ESTFERIE","TYPEJOUR","NUMEROSEMAINE"
20241210,"2024-12-10T00:00:00Z","Mardi",2,"Décembre",2024,4,2,0,"Semaine",50
20241211,"2024-12-11T00:00:00Z","Mercredi",3,"Décembre",2024,4,2,0,"Semaine",50
20241208,"2024-12-08T00:00:00Z","Dimanche",7,"Décembre",2024,4,2,0,"Week-end",49
20241209,"2024-12-09T00:00:00Z","Lundi",1,"Décembre",2024,4,2,0,"Semaine",50
